PDB_Chain,Prediction,Curated_Annotation
1IEP_A,Inactive,Inactive
1IEP_B,Inactive,Inactive
1IG1_A,Active,Active
1IR3_A,Active,Active
1IRK_A,Inactive,Inactive
1J1B_A,Active,Active
1J1B_B,Active,Active
1J1C_A,Active,Active
1J1C_B,Active,Active
1J3H_A,Active,None
1J3H_B,Active,None
1J91_A,Active,Active
1J91_B,Active,Active
1JAM_A,Active,Active
1JBP_E,Active,Active
1JKK_A,Active,Active
1JKL_A,Active,Active
1JKS_A,Active,Active
1JKT_A,Active,Active
1JKT_B,Active,Active
1JLU_E,Active,Active
1JNK_A,Inactive,Inactive
1JOW_B,Active,Active
1JPA_A,Inactive,Inactive
1JPA_B,Inactive,Inactive
1JQH_A,Inactive,Inactive
1JQH_B,Inactive,Inactive
1JQH_C,Inactive,Inactive
1JST_A,Active,Active
1JST_C,Active,Active
1JSU_A,Active,Active
1JSV_A,Inactive,Inactive
1JVP_P,Inactive,Inactive
1JWH_A,Active,Active
1JWH_B,Active,Active
1K2P_A,Inactive,Inactive
1K2P_B,Inactive,Inactive
1K3A_A,Active,Active
1K9A_A,Active,None
1K9A_B,Active,None
1K9A_C,Active,None
1K9A_D,Active,None
1K9A_E,Active,None
1K9A_F,Active,None
1KE5_A,Inactive,Inactive
1KE6_A,Inactive,Inactive
1KE7_A,Inactive,Inactive
1KE8_A,Inactive,Inactive
1KE9_A,Inactive,Inactive
1KOA_A,Active,None
1KOB_A,Active,None
1KOB_B,Active,None
1KSW_A,Inactive,Inactive
1KV1_A,Inactive,Inactive
1KV2_A,Inactive,Inactive
1KWP_A,Active,None
1KWP_B,Active,None
1L3R_E,Active,Active
1LEW_A,Inactive,Inactive
1LEZ_A,Inactive,Inactive
1LP4_A,Active,Active
1LPU_A,Active,Active
1LR4_A,Active,Active
1LUF_A,Inactive,Inactive
1M14_A,Active,Active
1M17_A,Active,Active
1M2P_A,Active,Active
1M2Q_A,Active,Active
1M2R_A,Active,Active
1M52_A,Inactive,Inactive
1M52_B,Inactive,Inactive
1M7N_A,Inactive,Inactive
1M7N_B,Inactive,Inactive
1M7Q_A,Inactive,None
1MP8_A,Inactive,Inactive
1MQ4_A,Active,Active
1MQB_A,Inactive,Inactive
1MQB_B,Active,None
1MRU_A,Active,None
1MRU_B,Active,None
1MRV_A,Inactive,Inactive
1MRY_A,Inactive,Inactive
1MUO_A,Inactive,Inactive
1NA7_A,Active,Active
1NVQ_A,Active,Active
1NVR_A,Active,Active
1NVS_A,Active,Active
1NXK_A,Active,None
1NXK_B,Active,None
1NXK_C,Active,None
1NXK_D,Active,None
1NY3_A,Active,None
1O6K_A,Active,Active
1O6L_A,Active,Active
1O6Y_A,Active,None
1O9U_A,Active,Active
1OB3_A,Inactive,None
1OB3_B,Inactive,None
1OEC_A,Active,Active
1OGU_A,Active,Active
1OGU_C,Active,Active
1OI9_A,Active,Active
1OI9_C,Active,Active
1OIQ_A,Inactive,Inactive
1OIR_A,Inactive,Inactive
1OIT_A,Inactive,Inactive
1OIU_A,Active,Active
1OIU_C,Active,Active
1OIY_A,Active,Active
1OIY_C,Active,Active
1OKV_A,Active,Active
1OKV_C,Active,Active
1OKW_A,Active,Active
1OKW_C,Active,Active
1OKY_A,Active,None
1OKZ_A,Active,None
1OL1_A,Active,Active
1OL1_C,Active,Active
1OL2_A,Active,Active
1OL2_C,Active,Active
1OL5_A,Active,Active
1OL6_A,Active,None
1OL7_A,Active,Active
1OM1_A,Active,Active
1OMW_A,Active,None
1OPJ_A,Inactive,Inactive
1OPJ_B,Inactive,Inactive
1OPK_A,Inactive,Inactive
1OPL_A,Inactive,Inactive
1OPL_B,Inactive,Inactive
1OUK_A,Inactive,None
1OUY_A,Inactive,None
1OVE_A,Inactive,None
1OZ1_A,Inactive,None
1P14_A,Inactive,Inactive
1P2A_A,Inactive,Inactive
1P38_A,Inactive,None
1P4F_A,Active,Active
1P4O_A,Inactive,Inactive
1P4O_B,Inactive,Inactive
1P5E_A,Active,Active
1P5E_C,Active,Active
1PF8_A,Inactive,Inactive
1PHK_A,Active,Active
1PJK_A,Active,Active
1PKD_A,Active,Active
1PKD_C,Active,Active
1PKG_A,Active,Active
1PKG_B,Active,None
1PME_A,Active,Active
1PMN_A,Inactive,Inactive
1PMQ_A,Inactive,Inactive
1PMU_A,Inactive,Inactive
1PMV_A,Inactive,Inactive
1PW2_A,Inactive,Inactive
1PXI_A,Inactive,Inactive
1PXJ_A,Inactive,Inactive
1PXK_A,Inactive,Inactive
1PXL_A,Inactive,Inactive
1PXM_A,Inactive,Inactive
1PXN_A,Inactive,Inactive
1PXO_A,Inactive,Inactive
1PXP_A,Inactive,Inactive
1PY5_A,Active,None
1PYE_A,Inactive,Inactive
1PYX_A,Active,Active
1PYX_B,Active,Active
1Q24_A,Active,Active
1Q3D_A,Active,Active
1Q3D_B,Active,Active
1Q3W_A,Active,Active
1Q3W_B,Active,Active
1Q41_A,Active,Active
1Q41_B,Active,Active
1Q4L_A,Active,Active
1Q4L_B,Active,Active
1Q5K_A,Active,Active
1Q5K_B,Active,Active
1Q61_A,Active,Active
1Q62_A,Active,Active
1Q8T_A,Active,Active
1Q8U_A,Active,Active
1Q8W_A,Active,Active
1Q8Y_A,Active,None
1Q8Y_B,Active,None
1Q8Z_A,Active,None
1Q8Z_B,Active,None
1Q97_A,Active,None
1Q97_B,Active,None
1Q99_A,Active,None
1Q99_B,Active,None
1QCF_A,Inactive,Inactive
1QL6_A,Active,Active
1QMZ_A,Active,Active
1QMZ_C,Active,Active
1QPC_A,Active,Active
1QPD_A,Active,Active
1QPE_A,Active,Active
1QPJ_A,Active,Active
1R0E_A,Active,Active
1R0E_B,Active,Active
1R0P_A,Inactive,Inactive
1R1W_A,Inactive,Inactive
1R39_A,Inactive,Inactive
1R3C_A,Inactive,None
1R78_A,Inactive,Inactive
1RDQ_E,Active,Active
1RE8_A,Active,Active
1REJ_A,Active,Active
1REK_A,Active,Active
1RJB_A,Inactive,Inactive
1RQQ_A,Active,Active
1RQQ_B,Active,Active
1RW8_A,Active,None
1S9I_A,Inactive,Inactive
1S9I_B,Inactive,Inactive
1S9J_A,Inactive,Inactive
1SM2_A,Inactive,Inactive
1SM2_B,Inactive,Inactive
1SMH_A,Active,Active
1SNU_A,Inactive,Inactive
1SNU_B,Inactive,Inactive
1SNX_A,Inactive,Inactive
1SNX_B,Inactive,Inactive
1STC_E,Active,Active
1SVE_A,Active,Active
1SVG_A,Active,Active
1SVH_A,Active,Active
1SYK_A,Active,Active
1SYK_B,Active,Active
1SZM_A,Active,Active
1SZM_B,Active,Active
1T45_A,Inactive,Inactive
1T46_A,Inactive,Inactive
1TKI_A,Active,Active
1TKI_B,Active,Active
1TQI_A,Inactive,None
1TQM_A,Inactive,None
1TQP_A,Inactive,None
1TVO_A,Active,Active
1U46_A,Active,None
1U46_B,Active,Active
1U4D_A,Active,None
1U4D_B,Active,Active
1U54_A,Active,Active
1U54_B,Active,Active
1U59_A,Active,Active
1U5Q_A,Active,Active
1U5Q_B,Active,Active
1U5R_A,Active,Active
1U5R_B,Active,Active
1UA2_A,Inactive,Inactive
1UA2_B,Inactive,None
1UA2_C,Inactive,Inactive
1UA2_D,Inactive,Inactive
1UKH_A,Inactive,Inactive
1UKI_A,Inactive,Inactive
1UNG_A,Active,Active
1UNG_B,Active,Active
1UNH_A,Active,Active
1UNH_B,Active,Active
1UNL_A,Active,Active
1UNL_B,Active,Active
1URC_A,Active,Active
1URC_C,Active,Active
1URW_A,Inactive,Inactive
1UU3_A,Active,None
1UU7_A,Active,Active
1UU8_A,Active,None
1UU9_A,Active,None
1UV5_A,Active,Active
1UVR_A,Active,Active
1UWH_A,Inactive,Inactive
1UWH_B,Inactive,Inactive
1UWJ_A,Inactive,Inactive
1UWJ_B,Inactive,Inactive
1V0B_A,Inactive,None
1V0B_B,Inactive,None
1V0O_A,Active,None
1V0O_B,Active,None
1V0P_A,Inactive,None
1V0P_B,Inactive,None
1V1K_A,Inactive,Inactive
1VEB_A,Active,Active
1VJY_A,Active,None
1VR2_A,Inactive,Inactive
1VYW_A,Active,Active
1VYW_C,Active,Active
1VYZ_A,Inactive,Inactive
1VZO_A,Inactive,Inactive
1W0X_C,Inactive,Inactive
1W7H_A,Inactive,None
1W82_A,Inactive,Inactive
1W83_A,Inactive,Inactive
1W84_A,Inactive,None
1W8C_A,Inactive,Inactive
1W98_A,Active,Active
1WAK_A,Active,None
1WBN_A,Inactive,Inactive
1WBO_A,Inactive,None
1WBP_A,Active,None
1WBS_A,Inactive,Inactive
1WBT_A,Inactive,Inactive
1WBV_A,Inactive,Inactive
1WBW_A,Inactive,None
1WCC_A,Inactive,Inactive
1WFC_A,Inactive,Inactive
1WMK_A,Active,Active
1WMK_B,Active,Active
1WMK_C,Active,Active
1WMK_D,Active,Active
1WMK_E,Active,Active
1WMK_F,Active,Active
1WMK_G,Active,Active
1WMK_H,Active,Active
1WVW_A,Active,Active
1WVX_A,Active,Active
1WVY_A,Active,Active
1WZY_A,Active,Active
1X8B_A,Active,None
1XBA_A,Active,Active
1XBB_A,Active,Active
1XBC_A,Active,Active
1XH4_A,Active,Active
1XH5_A,Active,Active
1XH6_A,Active,Active
1XH7_A,Active,Active
1XH8_A,Active,Active
1XH9_A,Active,Active
1XHA_A,Active,Active
1XJD_A,Active,Active
1XKK_A,Inactive,Inactive
1XO2_B,Active,Active
1XQZ_A,Active,Active
1XR1_A,Active,Active
1XWS_A,Active,Active
1Y57_A,Active,Active
1Y6A_A,Inactive,Inactive
1Y6B_A,Inactive,Inactive
1Y8G_A,Inactive,Inactive
1Y8G_B,Inactive,Inactive
1Y8Y_A,Inactive,Inactive
1Y91_A,Inactive,Inactive
1YDR_E,Active,Active
1YDS_E,Active,Active
1YDT_E,Active,Active
1YHS_A,Active,Active
1YHV_A,Active,None
1YHW_A,Active,None
1YI3_A,Active,Active
1YI4_A,Active,Active
1YI6_A,Active,Active
1YI6_B,Active,Active
1YKR_A,Inactive,Inactive
1YM7_A,Active,None
1YM7_B,Active,None
1YM7_C,Active,None
1YM7_D,Active,None
1YOJ_A,Inactive,Inactive
1YOJ_B,Inactive,Inactive
1YOL_A,Inactive,Inactive
1YOL_B,Inactive,Inactive
1YOM_A,Inactive,Inactive
1YOM_B,Inactive,Inactive
1YQJ_A,Inactive,None
1YRP_A,Active,Active
1YRP_B,Active,Active
1YVJ_A,Active,Active
1YW2_A,Inactive,Inactive
1YWN_A,Inactive,Inactive
1YWR_A,Inactive,Inactive
1YWV_A,Active,Active
1YXS_A,Active,Active
1YXT_A,Active,Active
1YXU_A,Active,Active
1YXU_B,Active,Active
1YXU_C,Active,Active
1YXU_D,Active,Active
1YXV_A,Active,Active
1YXX_A,Active,Active
1Z57_A,Active,Active
1Z5M_A,Active,None
1Z9X_A,Active,Active
1Z9X_B,Active,Active
1Z9X_C,Active,Active
1ZAO_A,Inactive,None
1ZAR_A,Inactive,None
1ZLT_A,Active,Active
1ZMU_A,Inactive,Inactive
1ZMU_B,Inactive,Inactive
1ZMV_A,Inactive,Inactive
1ZMV_B,Inactive,Inactive
1ZMW_A,Inactive,Inactive
1ZMW_B,Inactive,Inactive
1ZOE_A,Active,Active
1ZOG_A,Active,Active
1ZOH_A,Active,Active
1ZRZ_A,Active,Active
1ZWS_A,Active,Active
1ZWS_B,Active,Active
1ZWS_C,Active,Active
1ZWS_D,Active,Active
1ZWS_E,Active,Active
1ZWS_F,Active,Active
1ZWS_G,Active,Active
1ZWS_H,Active,Active
1ZXE_A,Inactive,None
1ZXE_B,Inactive,None
1ZXE_C,Inactive,None
1ZXE_D,Inactive,None
1ZXE_E,Inactive,None
1ZXE_F,Inactive,None
1ZY4_A,Inactive,None
1ZY4_B,Inactive,None
1ZY5_A,Inactive,None
1ZY5_B,Inactive,None
1ZYC_A,Inactive,None
1ZYC_B,Inactive,None
1ZYC_C,Inactive,None
1ZYC_D,Inactive,None
1ZYD_A,Inactive,None
1ZYD_B,Inactive,None
1ZYJ_A,Inactive,Inactive
1ZYS_A,Active,Active
1ZZ2_A,Inactive,Inactive
1ZZL_A,Inactive,None
2A0C_X,Inactive,Inactive
2A19_B,Active,Active
2A19_C,Inactive,None
2A1A_B,Active,Active
2A27_A,Active,Active
2A27_B,Active,Active
2A27_C,Active,Active
2A27_D,Active,Active
2A27_E,Active,Active
2A27_F,Active,Active
2A27_G,Active,Active
2A27_H,Active,Active
2A2A_A,Active,Active
2A2A_B,Active,Active
2A2A_C,Active,Active
2A2A_D,Active,Active
2A4L_A,Inactive,Inactive
2AC3_A,Inactive,Inactive
2AC5_A,Inactive,Inactive
2ACX_A,Active,None
2ACX_B,Active,None
2AUH_A,Active,Active
2AYP_A,Active,Active
2B1P_A,Inactive,Inactive
2B4S_B,Active,Active
2B4S_D,Active,Active
2B52_A,Inactive,Inactive
2B53_A,Inactive,Inactive
2B54_A,Inactive,Inactive
2B55_A,Inactive,Inactive
2B7A_A,Active,Active
2B7A_B,Active,Active
2B9F_A,Active,None
2B9H_A,Active,None
2B9I_A,Active,None
2B9J_A,Active,None
2BAJ_A,Inactive,Inactive
2BAK_A,Inactive,Inactive
2BAL_A,Inactive,Inactive
2BAQ_A,Inactive,Inactive
2BCJ_A,Active,None
2BDF_A,Active,None
2BDF_B,Active,None
2BDJ_A,Active,None
2BDW_A,Active,Active
2BDW_B,Active,Active
2BFX_A,Active,Active
2BFX_B,Active,Active
2BFY_A,Active,Active
2BFY_B,Active,Active
2BHE_A,Inactive,Inactive
2BHH_A,Inactive,Inactive
2BIK_B,Active,Active
2BIL_B,Active,Active
2BIY_A,Active,Active
2BKZ_A,Active,Active
2BKZ_C,Active,Active
2BMC_A,Inactive,Inactive
2BMC_B,Inactive,Inactive
2BMC_C,Inactive,Inactive
2BMC_D,Inactive,Inactive
2BMC_E,Inactive,Inactive
2BMC_F,Inactive,Inactive
2BPM_A,Active,Active
2BPM_C,Active,Active
2BR1_A,Active,Active
2BRB_A,Active,Active
2BRG_A,Active,Active
2BRH_A,Active,Active
2BRM_A,Active,Active
2BRN_A,Active,Active
2BRO_A,Active,Active
2BTR_A,Inactive,Inactive
2BTS_A,Inactive,Inactive
2BUJ_A,Active,None
2BUJ_B,Active,None
2BVA_A,Active,Active
2BVA_B,Active,Active
2BZH_B,Active,Active
2BZI_B,Active,Active
2BZJ_A,Active,Active
2BZK_B,Active,Active
2C0I_A,Inactive,Inactive
2C0I_B,Inactive,Inactive
2C0O_A,Inactive,Inactive
2C0O_B,Inactive,Inactive
2C0T_A,Inactive,Inactive
2C0T_B,Inactive,Inactive
2C1A_A,Active,Active
2C1B_A,Active,Active
2C30_A,Active,Active
2C3I_B,Active,Active
2C3J_A,Active,Active
2C3K_A,Active,Active
2C3L_A,Active,Active
2C47_A,Active,Active
2C47_B,Active,Active
2C47_C,Active,None
2C47_D,Active,Active
2C4G_A,Active,Active
2C4G_C,Active,Active
2C5N_A,Active,Active
2C5N_C,Active,Active
2C5O_A,Active,Active
2C5O_C,Active,Active
2C5V_A,Active,Active
2C5V_C,Active,Active
2C5X_A,Active,Active
2C5X_C,Active,Active
2C5Y_A,Inactive,Inactive
2C68_A,Inactive,Inactive
2C69_A,Inactive,Inactive
2C6D_A,Inactive,Inactive
2C6E_A,Inactive,Inactive
2C6E_B,Inactive,Inactive
2C6I_A,Inactive,Inactive
2C6K_A,Inactive,Inactive
2C6L_A,Inactive,Inactive
2C6M_A,Inactive,Inactive
2C6O_A,Inactive,Inactive
2C6T_A,Active,Active
2C6T_C,Active,Active
2CCH_A,Active,Active
2CCH_C,Active,Active
2CCI_A,Active,Active
2CCI_C,Active,Active
2CDZ_A,Active,Active
2CGU_A,Active,Active
2CGV_A,Active,Active
2CGW_A,Active,Active
2CGX_A,Active,Active
2CHL_A,Active,Active
2CJM_A,Active,Active
2CJM_C,Active,Active
2CKE_A,Active,Active
2CKE_B,Active,Active
2CKE_C,Active,Active
2CKE_D,Active,Active
2CLQ_A,Inactive,Inactive
2CLQ_B,Inactive,Inactive
2CLX_A,Inactive,Inactive
2CMW_A,Active,Active
2CN5_A,Active,Active
2CN8_A,Active,Active
2CPK_E,Active,Active
2CSN_A,Active,None
2DQ7_X,Active,Active
2DS1_A,Inactive,Inactive
2DUV_A,Inactive,Inactive
2DWB_A,Active,Active
2DYL_A,Inactive,Inactive
2E2B_A,Inactive,Inactive
2E2B_B,Inactive,Inactive
2E9N_A,Active,Active
2E9O_A,Active,Active
2E9P_A,Active,Active
2E9U_A,Active,Active
2E9V_A,Active,Active
2E9V_B,Active,Active
2EB2_A,Active,Active
2EB3_A,Active,None
2ERK_A,Active,Active
2ERZ_E,Active,Active
2ESM_A,Active,Active
2ESM_B,Active,Active
2ETK_A,Active,Active
2ETK_B,Active,Active
2ETM_A,Inactive,Inactive
2ETM_B,Inactive,Inactive
2ETR_A,Active,Active
2ETR_B,Active,Active
2EU9_A,Active,Active
2EUF_B,Active,Active
2EVA_A,Inactive,Inactive
2EWA_A,Inactive,Inactive
2EXC_X,Inactive,Inactive
2EXE_A,Active,None
2EXM_A,Inactive,Inactive
2F2C_B,Active,Active
2F2U_A,Active,Active
2F2U_B,Active,Active
2F49_A,Active,None
2F49_B,Active,None
2F4J_A,Active,Active
2F57_A,Active,None
2F57_B,Active,Active
2F7E_E,Active,Active
2F7X_E,Active,Active
2F7Z_E,Active,Active
2F9G_A,Active,None
2FA2_A,Active,None
2FA2_B,Active,None
2FB8_A,Active,None
2FB8_B,Active,None
2FGI_A,Inactive,None
2FGI_B,Inactive,Inactive
2FH9_A,Inactive,None
2FO0_A,Inactive,Inactive
2FSL_X,Inactive,Inactive
2FSM_X,Inactive,Inactive
2FSO_X,Inactive,Inactive
2FST_X,Inactive,Inactive
2FUM_A,Active,None
2FUM_B,Active,None
2FUM_C,Inactive,None
2FUM_D,Inactive,None
2FVD_A,Inactive,Inactive
2FYS_A,Active,Active
2FYS_B,Active,None
2G01_A,Active,Active
2G01_B,Active,Active
2G15_A,Inactive,Inactive
2G1T_A,Inactive,Inactive
2G1T_B,Inactive,Inactive
2G1T_C,Inactive,Inactive
2G1T_D,Inactive,Inactive
2G2F_A,Inactive,Inactive
2G2F_B,Inactive,Inactive
2G2H_A,Inactive,Inactive
2G2H_B,Inactive,Inactive
2G2I_A,Active,Active
2G2I_B,Active,Active
2G9X_A,Active,Active
2G9X_C,Active,Active
2GCD_A,Active,Active
2GCD_B,Active,Active
2GDO_A,Active,Active
2GFC_A,Active,Active
2GFS_A,Inactive,Inactive
2GHG_A,Active,Active
2GHL_A,Inactive,Inactive
2GHM_A,Inactive,Inactive
2GMX_A,Active,Active
2GMX_B,Active,Active
2GNF_A,Active,Active
2GNG_A,Active,Active
2GNH_A,Active,Active
2GNI_A,Active,Active
2GNJ_A,Active,Active
2GNL_A,Active,Active
2GPH_A,Active,Active
2GQG_A,Active,Active
2GQG_B,Active,Active
2GS2_A,Active,Active
2GS6_A,Active,Active
2GS7_A,Inactive,Inactive
2GS7_B,Inactive,Inactive
2GSF_A,Inactive,None
2GTM_A,Inactive,Inactive
2GTN_A,Inactive,Inactive
2GU8_A,Active,Active
2H34_A,Inactive,None
2H34_B,Inactive,None
2H6D_A,Inactive,Inactive
2H8H_A,Inactive,Inactive
2H96_A,Active,Active
2H96_B,Active,Active
2H9V_A,Active,Active
2HAK_A,Inactive,Inactive
2HAK_B,Inactive,Inactive
2HAK_C,Inactive,Inactive
2HAK_D,Inactive,Inactive
2HAK_E,Inactive,None
2HAK_F,Inactive,None
2HAK_G,Inactive,Inactive
2HAK_H,Inactive,Inactive
2HCK_A,Inactive,Inactive
2HCK_B,Inactive,Inactive
2HEL_A,Active,None
2HEN_A,Inactive,Inactive
2HEN_B,Inactive,Inactive
2HEN_C,Inactive,Inactive
2HEN_D,Inactive,Inactive
2HIW_A,Inactive,Inactive
2HIW_B,Inactive,Inactive
2HK5_A,Active,Active
2HOG_A,Active,Active
2HW6_A,Inactive,Inactive
2HW6_B,Inactive,Inactive
2HW7_A,Inactive,Inactive
2HWO_A,Inactive,Inactive
2HWO_B,Inactive,Inactive
2HWP_A,Inactive,Inactive
2HWP_B,Inactive,Inactive
2HXL_A,Active,Active
2HXQ_A,Active,Active
2HY0_A,Active,Active
2HY8_1,Active,None
2HYY_A,Inactive,Inactive
2HYY_B,Inactive,Inactive
2HYY_C,Inactive,Inactive
2HYY_D,Inactive,Inactive
2HZ0_A,Inactive,Inactive
2HZ0_B,Inactive,Inactive
2HZ4_A,Active,Active
2HZ4_B,Active,Active
2HZ4_C,Active,Active
2HZI_A,Inactive,Inactive
2HZI_B,Inactive,Inactive
2HZN_A,Inactive,Inactive
2I0E_A,Active,Active
2I0E_B,Active,Active
2I0H_A,Inactive,None
2I0V_A,Inactive,Inactive
2I0Y_A,Inactive,Inactive
2I1M_A,Inactive,Inactive
2I40_A,Active,Active
2I40_C,Active,Active
2I6L_A,Active,None
2I6L_B,Inactive,Inactive
2IJM_A,Inactive,Inactive
2IJM_B,Inactive,Inactive
2IN6_A,Active,None
2IO6_A,Active,None
2ITN_A,Active,None
2ITO_A,Active,None
2ITP_A,Active,Active
2ITQ_A,Active,Active
2ITT_A,Active,None
2ITU_A,Active,None
2ITV_A,Active,None
2ITW_A,Active,Active
2ITX_A,Active,Active
2ITY_A,Active,None
2ITZ_A,Active,None
2IVS_A,Active,Active
2IVS_B,Active,None
2IVT_A,Active,Active
2IVU_A,Active,Active
2IVV_A,Active,Active
2IW6_A,Active,Active
2IW6_C,Active,Active
2IW8_A,Active,Active
2IW8_C,Active,Active
2IW9_A,Active,Active
2IW9_C,Active,Active
2IWI_A,Active,None
2IWI_B,Active,None
2IZR_A,Active,Active
2IZS_A,Active,Active
2IZT_A,Active,Active
2IZU_A,Active,Active
2J0I_A,Active,Active
2J0J_A,Inactive,Inactive
2J0K_A,Inactive,Inactive
2J0K_B,Inactive,Inactive
2J0L_A,Active,Active
2J0M_B,Inactive,Inactive
2J2I_B,Active,Active
2J4Z_A,Inactive,Inactive
2J4Z_B,Inactive,Inactive
2J50_A,Inactive,Inactive
2J50_B,Inactive,Inactive
2J51_A,Active,Active
2J5E_A,Active,Active
2J5F_A,Active,None
2J6M_A,Active,Active
2J7T_A,Inactive,None
2J90_A,Active,None
2J90_B,Active,Active
2J9M_A,Inactive,Inactive
2JAM_A,Inactive,Inactive
2JAM_B,Inactive,Inactive
2JAV_A,Inactive,Inactive
2JBO_A,Active,None
2JBP_A,Active,None
2JBP_B,Active,None
2JBP_C,Active,None
2JBP_D,Active,None
2JBP_E,Active,None
2JBP_F,Active,None
2JBP_G,Active,None
2JBP_H,Active,None
2JBP_I,Active,None
2JBP_J,Active,None
2JBP_K,Active,None
2JBP_L,Active,None
2JC6_A,Inactive,Inactive
2JC6_C,Inactive,Inactive
2JD5_A,Active,None
2JD5_B,Active,None
2JDO_A,Active,Active
2JDR_A,Active,Active
2JDS_A,Active,Active
2JDT_A,Active,Active
2JDV_A,Active,Active
2JED_A,Active,Active
2JED_B,Active,Active
2JFL_A,Active,Active
2JFM_A,Active,None
2JGZ_A,Active,Active
2JII_A,Active,None
2JII_B,Active,None
2JIT_A,Active,Active
2JIT_B,Inactive,Inactive
2JIU_A,Active,Active
2JIU_B,Inactive,Inactive
2JIV_A,Inactive,Inactive
2JIV_B,Inactive,Inactive
2JKK_A,Inactive,Inactive
2JKM_A,Inactive,Inactive
2JKO_A,Inactive,Inactive
2JKQ_A,Inactive,Inactive
2JLD_A,Active,Active
2JLD_B,Active,Active
2KTY_A,Inactive,None
2KUL_A,Inactive,Active
2LAV_A,Inactive,None
2LGC_A,Inactive,None
2NO3_A,Active,Active
2NO3_B,Active,Active
2NP8_A,Inactive,Inactive
2NPQ_A,Inactive,Inactive
2NRU_A,Active,Active
2NRU_B,Active,Active
2NRU_C,Active,Active
2NRU_D,Active,Active
2NRY_A,Inactive,None
